(-0.992788,-0.0048517)
(-0.992864,-0.00977153)
(-0.992991,-0.0147568)
(-0.993145,-0.0198175)
(-0.993382,-0.0249449)
(-0.993646,-0.0301708)
(-0.994015,-0.0354712)
(-0.994406,-0.0409158)
(-0.994904,-0.0464503)
(-0.995406,-0.0521977)
(-0.995974,-0.0580543)
(-0.996514,-0.0641992)
(-0.997012,-0.0704666)
(-0.99743,-0.0770639)
(-0.997637,-0.0837736)
(-0.997699,-0.0907594)
(-0.997362,-0.0978058)
(-0.996834,-0.104928)
(-0.995814,-0.112014)
(-0.994618,-0.118855)
(-0.99307,-0.125557)
(-0.991445,-0.13174)
(-0.989878,-0.137746)
(-0.988381,-0.143276)
(-0.987384,-0.148723)
(-0.986535,-0.15418)
(-0.986208,-0.159736)
(-0.985924,-0.165888)
(-0.985544,-0.172228)
(-0.984995,-0.179136)
(-0.983677,-0.186084)
(-0.982134,-0.192755)
(-0.980119,-0.199237)
(-0.978106,-0.204871)
(-0.976708,-0.210372)
(-0.97548,-0.215873)
(-0.974886,-0.221527)
(-0.97423,-0.228147)
(-0.972796,-0.234881)
(-0.97112,-0.241502)
(-0.968799,-0.247922)
(-0.96654,-0.253257)
(-0.965371,-0.25856)
(-0.964293,-0.264625)
(-0.963023,-0.27087)
(-0.961515,-0.277634)
(-0.95886,-0.284218)
(-0.956285,-0.289309)
(-0.955296,-0.294452)
(-0.954254,-0.301153)
(-0.951788,-0.307859)
(-0.949252,-0.313417)
(-0.947552,-0.318924)
(-0.945852,-0.325057)
(-0.943671,-0.331206)
(-0.94143,-0.337048)
(-0.93934,-0.342861)
(-0.937224,-0.348775)
(-0.935003,-0.354683)
(-0.93274,-0.360538)
(-0.930462,-0.366375)
(-0.92815,-0.37221)
(-0.925794,-0.378032)
(-0.923402,-0.383835)
(-0.920974,-0.389623)
(-0.918511,-0.395396)
(-0.916011,-0.401154)
(-0.913475,-0.406896)
(-0.910903,-0.412621)
(-0.908295,-0.418331)
(-0.905651,-0.424024)
(-0.902972,-0.4297)
(-0.900257,-0.435359)
(-0.897506,-0.441002)
(-0.894721,-0.446626)
(-0.8919,-0.452234)
(-0.889043,-0.457823)
(-0.886152,-0.463395)
(-0.883226,-0.468948)
(-0.880265,-0.474482)
(-0.87727,-0.479998)
(-0.874239,-0.485495)
(-0.871175,-0.490973)
(-0.868076,-0.496432)
(-0.864943,-0.501871)
(-0.861775,-0.50729)
(-0.858574,-0.512689)
(-0.855339,-0.518068)
(-0.852071,-0.523427)
(-0.848768,-0.528765)
(-0.845433,-0.534082)
(-0.842064,-0.539378)
(-0.838661,-0.544653)
(-0.835226,-0.549907)
(-0.831758,-0.555138)
(-0.828257,-0.560348)
(-0.824724,-0.565536)
(-0.821158,-0.570702)
(-0.817559,-0.575845)
(-0.813929,-0.580965)
(-0.810266,-0.586063)
(-0.806571,-0.591137)
(-0.802845,-0.596188)
(-0.799087,-0.601216)
(-0.795297,-0.60622)
(-0.791477,-0.6112)
(-0.787625,-0.616156)
(-0.783741,-0.621087)
(-0.779828,-0.625995)
(-0.775883,-0.630877)
(-0.771908,-0.635735)
(-0.767902,-0.640567)
(-0.763866,-0.645375)
(-0.7598,-0.650157)
(-0.755704,-0.654913)
(-0.751579,-0.659644)
(-0.747423,-0.664348)
(-0.743239,-0.669027)
(-0.739025,-0.673679)
(-0.734781,-0.678304)
(-0.730509,-0.682903)
(-0.726208,-0.687475)
(-0.721879,-0.69202)
(-0.717521,-0.696537)
(-0.713135,-0.701027)
(-0.70872,-0.70549)
(-0.704278,-0.709924)
(-0.699808,-0.714331)
(-0.695311,-0.718709)
(-0.690786,-0.72306)
(-0.686234,-0.727381)
(-0.681654,-0.731674)
(-0.677048,-0.735939)
(-0.672416,-0.740174)
(-0.667756,-0.74438)
(-0.663071,-0.748557)
(-0.658359,-0.752704)
(-0.653622,-0.756822)
(-0.648858,-0.760909)
(-0.644069,-0.764967)
(-0.639255,-0.768995)
(-0.634416,-0.772992)
(-0.629551,-0.776959)
(-0.624662,-0.780895)
(-0.619748,-0.784801)
(-0.61481,-0.788676)
(-0.609847,-0.792519)
(-0.604861,-0.796331)
(-0.59985,-0.800112)
(-0.594816,-0.803862)
(-0.589759,-0.80758)
(-0.584678,-0.811265)
(-0.579574,-0.814919)
(-0.574448,-0.818541)
(-0.569299,-0.822131)
(-0.564127,-0.825688)
(-0.558933,-0.829213)
(-0.553717,-0.832705)
(-0.54848,-0.836164)
(-0.54322,-0.83959)
(-0.53794,-0.842983)
(-0.532638,-0.846343)
(-0.527315,-0.84967)
(-0.521971,-0.852963)
(-0.516607,-0.856223)
(-0.511222,-0.859449)
(-0.505818,-0.86264)
(-0.500393,-0.865798)
(-0.494949,-0.868922)
(-0.489485,-0.872012)
(-0.484002,-0.875067)
(-0.478499,-0.878088)
(-0.472978,-0.881074)
(-0.467439,-0.884026)
(-0.461881,-0.886942)
(-0.456304,-0.889824)
(-0.45071,-0.892671)
(-0.445098,-0.895482)
(-0.439468,-0.898258)
(-0.433821,-0.900999)
(-0.428157,-0.903705)
(-0.422478,-0.906375)
(-0.416782,-0.909004)
(-0.411057,-0.9116)
(-0.40532,-0.914186)
(-0.399626,-0.916727)
(-0.393896,-0.919109)
(-0.3879,-0.921494)
(-0.381962,-0.924346)
(-0.376994,-0.927023)
(-0.371759,-0.927791)
(-0.363046,-0.928964)
(-0.355068,-0.936321)
(-0.357904,-0.942417)
(-0.358809,-0.930238)
(-0.330038,-0.920886)
(-0.305308,-0.957969)
(-0.350493,-0.989628)
(-0.38905,-0.920544)
(-0.289416,-0.858734)
(-0.196635,-0.976465)
(-0.323141,-1.08958)
(-0.449751,-0.953911)
(-0.319011,-0.810879)
(-0.17196,-0.902863)
(-0.201318,-1.01994)
(-0.261629,-1.05195)
(-0.345236,-1.05327)
(-0.406722,-0.932952)
(-0.28962,-0.81856)
(-0.159,-0.875102)
(-0.125588,-0.960594)
(-0.125068,-1.06128)
(-0.240735,-1.14032)
(-0.357441,-1.06476)
(-0.366507,-0.965319)
(-0.342303,-0.866193)
(-0.215746,-0.789146)
(-0.0853679,-0.845272)
(-0.0252343,-0.928643)
(0.00420152,-1.05292)
(-0.0812872,-1.16686)
(-0.185165,-1.18846)
(-0.295956,-1.17889)
(-0.39073,-1.075)
(-0.395667,-0.957362)
(-0.371049,-0.839611)
(-0.262452,-0.737184)
(-0.139514,-0.710498)
(-0.00413773,-0.711324)
(0.121626,-0.792377)
(0.195852,-0.891909)
(0.246772,-1.0265)
(0.225996,-1.16162)
(0.183007,-1.28076)
(0.0855039,-1.38612)
(-0.0242169,-1.44526)
